Timestamp,우리 학교는 교직원들의 의견을 수렴하여 업무가 효율적으로 처리되고 있다고 생각하십니까?,따스한 감성으로 꿈 너머 꿈을 가꾸는 가동 어린이들의 알찬 교육활동을 위한 의견이 있으시면 써 주세요.
6/22/2026 9:07:55,그렇다,없습니다.
6/22/2026 9:17:43,매우 그렇다,없습니다.
6/22/2026 10:48:44,매우 그렇다,
6/22/2026 15:42:07,매우 그렇다,
6/23/2026 8:42:11,매우 그렇다,
6/23/2026 8:42:38,매우 그렇다,
6/23/2026 8:46:19,매우 그렇다,행복가동
6/23/2026 8:50:49,그렇다,"없음
"
6/23/2026 8:55:02,매우 그렇다,
6/23/2026 9:34:18,매우 그렇다,
6/23/2026 9:37:17,매우 그렇다,
6/23/2026 9:41:43,그렇다,
6/23/2026 10:01:07,그렇다,
6/23/2026 10:19:52,매우 그렇다, 
6/23/2026 10:22:23,매우 그렇다,
6/23/2026 10:53:50,그렇다,